,rates
AED,4.056079
AFN,94.439787
ALL,102.889609
AMD,426.410131
ANG,1.991415
AOA,910.69047
ARS,303.956913
AUD,1.640053
AWG,1.98772
AZN,1.881774
BAM,1.958059
BBD,2.230973
BDT,119.908308
BGN,1.957628
BHD,0.416233
BIF,3124.832626
BMD,1.104289
BND,1.469208
BOB,7.662908
BRL,5.233445
BSD,1.104985
BTC,3.767062e-05
BTN,90.901573
BWP,14.462813
BYN,2.789042
BYR,21644.059277
BZD,2.227289
CAD,1.453746
CDF,2732.010794
CHF,0.957186
CLF,0.033394
CLP,921.539704
CNY,7.891685
COP,4309.873304
CRC,596.994007
CUC,1.104289
CUP,29.263652
CVE,110.392332
CZK,23.862515
DJF,196.738709
DKK,7.452812
DOP,61.931996
DZD,149.545014
EGP,34.148033
ERN,16.564331
ETB,60.869161
EUR,1.0
FJD,2.449647
FKP,0.859589
GBP,0.858248
GEL,2.86026
GGP,0.859589
GHS,12.585631
GIP,0.859589
GMD,65.926144
GNF,9505.964627
GTQ,8.679089
GYD,231.178746
HKD,8.613165
HNL,27.187359
HRK,7.425082
HTG,151.936627
HUF,387.249777
IDR,16666.312145
ILS,4.044234
IMP,0.859589
INR,90.835534
IQD,1447.482703
IRR,46766.628118
ISK,144.286771
JEP,0.859589
JMD,170.8386
JOD,0.782495
JPY,156.963052
KES,157.466494
KGS,96.853743
KHR,4556.296707
KMF,492.844931
KPW,993.859865
KRW,1409.569726
KWD,0.339172
KYD,0.92077
KZT,491.481348
LAK,21095.523603
LBP,16585.480666
LKR,353.611074
LRD,205.39781
LSL,19.468416
LTL,3.260678
LVL,0.667973
LYD,5.26207
MAD,10.888558
MDL,19.524698
MGA,4991.802984
MKD,61.710769
MMK,2320.397468
MNT,3818.826224
MOP,8.876619
MRO,394.23089
MUR,50.440905
MVR,16.950608
MWK,1164.053215
MXN,18.437591
MYR,4.979251
MZN,69.846336
NAD,19.468907
NGN,851.384702
NIO,40.42663
NOK,11.157148
NPR,145.442077
NZD,1.7742
OMR,0.425152
PAB,1.104985
PEN,3.979726
PGK,3.963608
PHP,60.539868
PKR,316.432754
PLN,4.401871
PYG,8036.34227
QAR,4.020752
RON,4.935453
RSD,117.300838
RUB,101.371714
RWF,1313.22663
SAR,4.143089
SBD,9.218411
SCR,14.662809
SDG,664.227601
SEK,11.58464
SGD,1.466379
SHP,1.343643
SLE,23.151301
SLL,21809.702479
SOS,628.897604
SRD,42.649288
STD,22856.54734
SVC,9.668152
SYP,14530.126432
SZL,19.564744
THB,37.694882
TJS,12.104872
TMT,3.865011
TND,3.397342
TOP,2.602813
TRY,29.737695
TTD,7.498717
TWD,34.744785
TZS,2711.841615
UAH,40.807839
UGX,3994.607569
USD,1.104289
UYU,41.71812
UZS,12837.807732
VEF,3229043.996189
VES,32.320981
VND,26157.839497
VUV,130.148689
WST,2.96293
XAF,656.720439
XAG,0.044509
XAU,0.000561
XCD,2.984396
XDR,0.822756
XOF,656.714485
XPF,119.870128
YER,276.458296
ZAR,19.613606
ZMK,9939.923632
ZMW,20.856245
ZWL,355.580523
